Time;Cube Type;Cube Pos;;;Cube Rot;;;Controller Pos;;;Controller Rot;;;Controller Velocity;;;Controller Acceleration;;;Controller Angular Velocity;;;Controller Angular Acceleration;;
126,4882;1;-0,002087593;0;-45,36542;4,829673E-06;4,829673E-06;90;0,447683;1,531809;-0,2958521;3,419035;109,8713;5,868973;0,4089643;0,07627627;-1,671474;-9,54076;-3,397622;-7,94764;-0,9333447;9,053729;-1,763412;10,87434;123,7894;43,37506
128,0399;1;-0,002156258;0;-45,68519;-4,732704E-06;1,96035E-06;315;0,2543118;1,326067;-0,3258596;41,38834;106,6574;8,897521;-0,2175697;-1,788508;1,232011;-6,222046;-7,35293;14,33488;8,312027;-8,899552;0,6971058;141,8503;-157,1637;109,8177
128,627;1;-0,002192497;0;-45,68328;4,829673E-06;4,829673E-06;90;0,2883678;1,793096;0,005735606;330,9324;81,58607;23,35345;0,3098764;1,677454;-1,434787;-9,281724;-1,236315;-31,8232;-2,226243;13,97656;0,4529803;-17,96448;283,0138;-14,43827
129,9253;1;-0,002123833;0;-45,42134;4,829673E-06;4,829673E-06;90;0,3656726;1,549251;0,06058394;0,9094972;86,39389;358,7751;0,822377;0,5990525;-1,51966;-5,302609;-0,4635922;-20,73271;-3,220428;10,87068;-2,183758;-27,94397;213,9006;-52,74286
134,4134;1;-0,002146721;0;-45,57806;4,829673E-06;4,829673E-06;90;0,3976067;1,254024;-0,1841998;31,99305;103,9201;358,9698;0,3129557;-0,28705;-1,683376;-9,402598;0,5509489;-6,809368;-1,229761;8,386305;-2,83164;-10,75011;101,251;-9,81777
137,465;1;-0,002158165;0;-45,62776;4,732703E-06;1,960351E-06;45,00002;0,3333716;1,535229;-0,3075003;0,8647707;104,5842;344,0444;0,09080128;-1,137322;-1,63456;-8,38257;-12,13303;-9,551639;1,253621;10,00015;0,4442025;33,88041;154,6138;28,38847
138,434;1;-0,002121925;0;-45,48294;0;1,366038E-05;180;0,443963;1,531384;-0,0257716;13,52789;86,39235;44,1276;0,7015837;2,323437;0,1835223;-9,963638;12,13985;-3,98815;-4,020578;3,817653;-0,4280008;-12,02532;32,91208;-8,875101
138,4971;1;-0,002140999;0;-45,60849;0;1,366038E-05;180;0,4226258;1,714402;-0,03246272;346,3793;86,75877;37,06113;-0,1932696;2,698874;-0,08099786;-15,18339;-1,882449;-6,868443;-5,433852;4,470455;-1,54561;-22,42694;-21,48399;-61,1708
139,0355;1;-0,00216198;0;-45,50065;-4,829673E-06;4,829673E-06;270;0,4723991;1,775059;-0,3741491;350,3985;114,9335;12,94464;0,7329407;0,3770609;1,062544;-8,731528;8,369651;13,3272;-3,687959;-6,661604;4,031543;-134,5319;-31,15434;57,79549
140,138;1;-0,002108574;0;-45,33856;-3,9207E-06;9,465408E-06;225;0,483858;1,203049;-0,1047052;23,71699;94,95547;356,9618;1,020522;0,5684715;1,214602;-7,626952;10,02856;1,541642;-5,129826;-4,889831;0,8414316;-69,02603;-15,66963;-29,83214
140,6346;1;-0,002101898;0;-45,07412;0;1,366038E-05;180;0,6112157;1,245088;-0,06813744;22,44604;95,61684;39,91516;1,003175;1,518764;0,1389509;-3,011072;16,13815;1,736244;-5,690243;4,441288;-0,8005505;-61,24467;57,42741;-15,46291
140,6723;1;-0,002113342;0;-45,15079;0;1,366038E-05;180;0,6318521;1,337946;-0,05975256;0,6695172;92,46793;35,3366;0,6991299;2,011788;0,1781417;-12,31231;7,723819;-0,5841478;-7,561386;4,734064;-0,7413427;-42,74627;3,276007;0,8835656
141,4243;1;-0,002142906;0;-45,39984;4,829673E-06;4,829673E-06;90;0,5135878;1,222224;-0,2817067;32,20471;102,7112;14,29967;-0,1212633;-0,4971065;-1,760187;-6,030396;3,911839;-11,09119;0,7882797;8,78824;-2,923097;10,86884;161,1127;-39,43111
