Time;Cube Type;Cube Pos;;;Cube Rot;;;Controller Pos;;;Controller Rot;;;Controller Velocity;;;Controller Acceleration;;;Controller Angular Velocity;;;Controller Angular Acceleration;;
155,5895;0;0;0;-45,80445;0;0;135;-0,6027515;1,458576;0,328923;19,29;357,2044;321,0594;1,36576;2,210546;0,808648;-2,87868;5,694858;-12,33931;-7,311612;0,293888;-0,5861177;-0,8795362;-13,67608;-19,10772
156,1521;0;0;0;-45,27033;0;0;0;-0,725437;1,837683;0,395583;336,9219;337,1169;335,8583;-1,007287;-1,802826;0,937299;-1,227606;-18,04938;0,8313847;5,697487;0,4692392;0,6405587;30,06033;22,44905;-3,003305
156,2014;0;0;0;-45,36954;0;0;0;-0,7739449;1,686685;0,4366848;1,791988;331,9395;332,7122;-0,9288763;-2,691475;0,774202;4,850482;-15,31498;-9,221665;7,707149;1,935342;-0,5965462;27,74492;30,21808;-17,70395
156,7519;0;0;0;-45,62191;0;0;270;-0,609479;1,322134;0,2715851;29,5332;349,1241;305,8662;-1,8774;0,2591703;0,7254925;-17,66258;0,9130371;-3,286871;3,789438;-6,31717;1,792834;59,61576;-75,55896;20,27952
157,8525;0;0;0;-45,5075;0;0;270;-0,2788918;1,560167;0,3226058;7,402265;1,811438;307,1736;-0,9181231;0,1376115;0,3271667;-13,6929;-6,621021;-3,744918;2,689541;-3,279005;1,803158;30,96658;-26,29175;33,17235
158,8848;0;0;0;-45,35115;0;0;315;-0,3455268;1,608179;0,3431765;0,176921;3,366716;316,2065;-0,6228233;-0,7025375;0,4412213;-9,375647;-10,55644;-0,1346869;3,378013;0,07005431;0,3022433;43,45093;-11,94149;12,84686
158,9726;0;0;0;-45,534;0;0;315;-0,4622148;1,451903;0,3513198;26,92067;339,9612;315,1091;-1,245083;-1,740374;-0,03534519;-2,69461;-9,798954;-11,84951;6,727973;0,3309087;0,04867585;31,26037;23,9395;-46,02378
161,676;0;0;0;-45,19385;0;0;45,00002;-0,3718575;1,602267;0,4915095;5,110082;347,4561;331,6336;0,03223845;-1,063583;0,6389499;1,871373;-14,76777;-2,573231;3,43862;4,111692;-0,5801641;72,21939;72,73486;-10,60124
162,8765;0;0;0;-45,42281;0;0;45,00002;-0,8410968;1,341181;0,4148236;24,24001;334,1943;330,8837;0,5084398;-1,106011;0,1480626;11,66252;-20,26997;-3,694844;1,69973;3,081864;0,3348786;53,03019;84,44025;-30,04415
163,6894;0;0;0;-45,90184;0;0;0;-0,4553952;1,981351;0,3048599;326,377;10,61154;297,2563;0,9895874;-0,02010436;0,3656013;-12,83333;-28,19869;5,489473;0,4947406;4,200111;-0,7949662;173,2942;-16,28051;-45,18154
164,4897;0;0;0;-45,38092;0;0;180;-0,4122986;1,562269;0,4424571;13,91123;358,53;327,6612;0,5780943;1,435942;0,6846576;-3,487176;15,78047;-6,132046;-5,070875;-1,727517;0,818235;-49,53071;7,841974;72,96585
164,5526;0;0;0;-45,50575;0;0;180;-0,4049998;1,698455;0,4488075;348,9813;357,0604;331,6551;0,1703061;1,974196;0,1538113;-6,00861;0,02280781;-9,326869;-5,621129;-3,633277;0,4140747;6,485478;-18,4428;-16,73841
165,5389;0;0;0;-45,13569;0;0;315;-0,3843232;1,649297;0,5722309;8,356174;3,667878;316,8704;0,09657954;-1,794397;0,9180041;-9,208867;-10,29277;-1,568457;4,589835;2,763426;0,705002;68,34103;-30,39736;-5,255704
166,0144;0;0;0;-45,09495;0;0;180;-0,4026741;1,842084;0,5566702;346,9797;353,931;332,9768;-0,02430401;2,1582;-0,4527498;-1,290769;-6,230762;-9,736011;-5,500918;-2,745338;0,661595;3,281775;24,78458;0,684974
167,2518;0;0;0;-45,20221;0;0;135;-0,6903798;1,617812;0,4529062;15,38527;337,0381;327,9653;0,7133451;2,319043;0,8861287;12,39156;6,693864;-13,07742;-7,204894;0,04906408;0,5878099;-48,1251;6,417207;-13,59305
167,3268;0;0;0;-45,35196;0;0;135;-0,5888853;1,795039;0,4314369;349,6258;354,5727;322,6148;1,199341;2,223806;-0,1760727;0,6206115;-7,82318;-12,47819;-7,025206;-0,1360249;-1,041664;9,064241;-9,215185;-0,3022324
