Time;Heart Rate
140,6871;0
140,7018;0
140,7146;0
140,7249;0
140,7363;0
140,7484;0
140,7614;0
140,7741;0
140,7864;0
140,7979;0
140,8097;0
140,8222;0
140,8349;0
140,8478;0
140,8628;0
140,8759;0
140,8864;0
140,8981;0
140,9099;0
140,9226;0
140,9359;0
140,9482;0
140,9606;0
140,9735;0
140,9859;0
140,9987;0
141,0111;0
141,0237;0
141,036;0
141,0496;0
141,0613;0
141,0739;0
141,0864;0
141,0992;0
141,1119;0
141,1246;0
141,1365;0
141,1492;0
141,1624;0
141,1757;0
141,1873;0
141,199;0
141,212;0
141,2239;0
141,2371;0
141,2492;0
141,2617;0
141,2742;0
141,2871;0
141,2995;0
141,3118;0
141,3251;0
141,3373;0
141,3494;0
141,3625;0
141,3747;0
141,3867;0
141,3998;0
141,412;0
141,4243;0
141,439;0
141,45;0
141,4621;0
141,4743;0
141,487;0
141,4996;0
141,5126;0
141,5246;0
141,5372;0
141,5497;0
141,562;0
141,5748;0
141,5874;0
141,5996;0
141,6127;0
141,6245;0
141,6375;0
141,6496;0
141,6628;0
141,6746;0
141,6879;0
141,6999;0
141,7124;0
141,7249;0
141,7383;0
141,7499;0
141,7623;0
141,7751;0
141,7876;0
141,8005;0
141,8128;0
141,8251;0
141,8373;0
141,8504;0
141,8647;0
141,8751;0
141,887;0
141,9;0
141,9128;0
141,9256;0
141,9391;0
141,9513;0
141,9621;0
141,9762;0
141,9874;0
141,9998;0
142,0129;0
142,0249;0
142,0378;0
142,0497;0
142,0629;0
142,0749;0
142,0883;0
142,1012;0
142,1142;0
142,125;0
142,1377;0
142,1503;0
142,1624;0
142,1758;0
142,1875;0
142,2009;0
142,2129;0
142,2251;0
142,238;0
142,2507;0
142,263;0
142,2757;0
142,2881;0
142,3004;0
142,313;0
142,3259;0
142,3379;0
142,3504;0
142,3631;0
142,376;0
142,3879;0
142,4004;0
142,4135;0
142,4297;0
142,4512;0
142,4644;0
142,477;0
142,4892;0
142,5015;0
142,5136;0
142,5261;0
142,539;0
142,5509;0
142,5631;0
142,5755;0
142,588;0
142,6008;0
142,6131;0
142,625;0
